state_name,year,total_geographical_area_sqkm,total_forest_area_sqkm,forest_cover_percentage,very_dense_forest_sqkm,moderate_dense_forest_sqkm,open_forest_sqkm,tree_cover_sqkm,total_green_cover_sqkm,forest_category,required_forest_increase_sqkm,air_quality_index,carbon_emission_tons,industrial_index,pollution_level,industry_category,population,estimated_o2_released_tons,estimated_co2_absorbed_tons,population_category,environmental_risk_score,region_category,o2_co2_balance,forest_area_ratio,population_density
Assam,1975,156881,33847,21.57495171,11072,15112,7663,3248,37095,Moderate Forest,6769.4,250,208875,94,Very Poor,Highly Industrial,75173601,169235,84617.5,Very High Population,41.85,Medium,84617.5,0.215749517,479.1759423
Assam,1976,156881,29333,18.69761157,2837,18541,7955,2023,31356,Low Forest,2346.64,120,516752,46,Poor,Moderate Industrial,47585960,146665,73332.5,High Population,68.54,High,73332.5,0.186976116,303.3251955
Assam,1977,156881,30950,19.72832912,5860,17259,7831,2507,33457,Low Forest,928.5,77,154857,66,Moderate,Moderate Industrial,64330841,154750,77375,Very High Population,27.66,High,77375,0.197283291,410.0613905
Assam,1978,156881,35968,22.92693188,1465,21075,13428,3855,39823,Moderate Forest,5395.2,173,541865,40,Poor,Moderate Industrial,11441531,179840,89920,Medium/Low Population,7.48,Medium,89920,0.229269319,72.93127275
Assam,1979,156881,48004,30.59898904,9469,16052,22483,1797,49801,Moderate Forest,7200.6,180,259105,42,Poor,Moderate Industrial,111286903,240020,120010,Very High Population,73.81,High,120010,0.30598989,709.3714535
Assam,1980,156881,32180,20.51236287,7747,10753,13680,5793,37973,Moderate Forest,965.4,82,578857,88,Moderate,Highly Industrial,76338943,160900,80450,Very High Population,34.78,High,80450,0.205123629,486.6041331
Assam,1981,156881,45785,29.18454115,4499,12996,28290,4119,49904,Moderate Forest,6867.75,196,478995,88,Poor,Highly Industrial,80383299,228925,114462.5,Very High Population,21.74,Medium,114462.5,0.291845411,512.3839024
Assam,1982,156881,36587,23.32149846,4855,9295,22437,1415,38002,Moderate Forest,5488.05,186,185950,92,Poor,Highly Industrial,46712548,182935,91467.5,High Population,59.63,Low,91467.5,0.233214985,297.7578419
Assam,1983,156881,31645,20.17134006,7009,13595,11041,2323,33968,Moderate Forest,6329,242,73707,87,Very Poor,Highly Industrial,79009540,176410,79112.5,Very High Population,77.34,High,97297.5,0.201713401,503.6272079
Assam,1984,156881,39119,24.93546064,3521,8746,26852,4093,43212,Moderate Forest,1173.57,65,474220,49,Moderate,Moderate Industrial,75085361,195595,97797.5,Very High Population,66.32,High,97797.5,0.249354606,478.6134777
Assam,1985,156881,22817,14.54414493,5057,5437,12323,5447,28264,Low Forest,1825.36,134,426601,90,Poor,Highly Industrial,32138033,176410,57042.5,High Population,92.2,High,119367.5,0.145441449,204.8561202
Assam,1986,156881,35667,22.73506671,9188,10666,15813,864,36531,Moderate Forest,1070.01,70,78655,89,Moderate,Highly Industrial,44221515,176410,89167.5,High Population,17.8,Low,87242.5,0.227350667,281.8793544
Assam,1987,156881,42145,26.86431117,7656,15554,18935,717,42862,Moderate Forest,6321.75,175,352104,47,Poor,Moderate Industrial,20034251,210725,105362.5,High Population,96.68,High,105362.5,0.268643112,127.7034886
Assam,1988,156881,52321,33.35075631,10876,15172,26273,3959,56280,Moderate Forest,4185.68,132,468210,66,Poor,Moderate Industrial,87808739,261605,130802.5,Very High Population,32.61,Low,130802.5,0.333507563,559.7155742
Assam,1989,156881,13596,8.666441443,2290,5030,6276,4727,18323,Low Forest,2719.2,235,102883,42,Very Poor,Moderate Industrial,89780984,67980,33990,Very High Population,79.32,Low,33990,0.086664414,572.2871731
Assam,1990,156881,27001,17.21113455,11080,8278,7643,785,27786,Low Forest,5400.2,216,537252,39,Very Poor,Low Industrial,22445854,135005,88205,High Population,86.2,Medium,46800,0.172111346,143.0756688
Assam,1991,156881,48524,30.93045047,2445,16424,29655,1023,49547,Moderate Forest,3881.92,103,510029,63,Poor,Moderate Industrial,8195458,242620,121310,Medium/Low Population,97.41,Medium,121310,0.309304505,52.23996532
Assam,1992,156881,53580,34.15327541,4467,24402,24711,769,54349,Moderate Forest,10716,222,319548,80,Very Poor,Highly Industrial,18218481,267900,133950,Medium/Low Population,13.06,Low,133950,0.341532754,116.1293018
Assam,1993,156881,34642,22.08170524,11620,14377,8645,5985,40627,Moderate Forest,5196.3,166,569408,65,Poor,Moderate Industrial,80023522,173210,86605,Very High Population,97.08,High,86605,0.220817052,510.090591
Assam,1994,156881,40727,25.96044135,9398,6743,24586,753,41480,Moderate Forest,8145.4,232,390126,32,Very Poor,Low Industrial,48995106,203635,101817.5,High Population,57.99,Medium,101817.5,0.259604414,312.307456
Assam,1995,156881,26568,16.93512917,9281,6502,10785,3439,30007,Low Forest,797.04,64,361138,92,Moderate,Highly Industrial,25784143,132840,66420,High Population,25.84,High,66420,0.169351292,164.3547848
Assam,1996,156881,26810,17.08938622,8390,7966,10454,1545,28355,Low Forest,5362,206,531118,67,Very Poor,Moderate Industrial,109228616,134050,67025,Very High Population,67.59,Low,67025,0.170893862,696.2514007
Assam,1997,156881,38845,24.76080596,8304,23371,7170,2008,40853,Moderate Forest,7769,204,179958,56,Very Poor,Moderate Industrial,4212393,194225,97112.5,Medium/Low Population,14.47,High,97112.5,0.24760806,26.8508806
Assam,1998,156881,50626,32.27031954,10605,10041,29980,1941,52567,Moderate Forest,7593.9,179,271981,64,Poor,Moderate Industrial,113916115,253130,126565,Very High Population,70.23,Low,126565,0.322703195,726.1307297
Assam,1999,156881,46742,29.79455766,6495,21240,19007,2991,49733,Moderate Forest,9348.4,201,185095,47,Very Poor,Moderate Industrial,30538858,233710,116855,High Population,41.32,High,116855,0.297945577,194.6625659
Assam,2000,156881,52914,33.72874982,5323,23500,24091,5538,58452,Moderate Forest,1587.42,84,93235,88,Moderate,Highly Industrial,32562589,264570,132285,High Population,63.55,Low,132285,0.337287498,207.5623498
